Source;Year;Title
Web of Science;2004;A method to develop feasible requirements for Java mobile code application
Web of Science;2004;Goal and scenario driven product line development
Web of Science;2004;Cognitive approach to control of socio-economic systems security
Web of Science;2004;Requirements analysis and a design of computational environment for HSE (human-sensibility ergonomics) simulator
Web of Science;2004;A propositional logic-based method for verification of feature models
Web of Science;2003;Monitoring web service requirements
Web of Science;2003;Object-oriented graceful evolution monitors
Web of Science;2003;Policy-based autonomic storage allocation
Web of Science;2001;A multi-level software architecture metamodel to support the capture and evaluation of stakeholder concerns
Web of Science;2000;Process metrics for requirements analysis
Web of Science;1999;Managing requirements inconsistency with development goal monitors
Web of Science;1998;Reconciling system requirements and runtime behavior
Web of Science;1998;Towards reusable Colored Petri Nets
Web of Science;1996;Managing multiple requirements perspectives with metamodels
Web of Science;1994;VISUALIZATION OF CONCEPTUAL SPECIFICATIONS
Web of Science;1993;STATE-BASED MODEL CHECKING OF EVENT-DRIVEN SYSTEM REQUIREMENTS
Web of Science;1992;A KNOWLEDGE-BASED SOFTWARE-DEVELOPMENT ENVIRONMENT SUPPORTING COOPERATIVE WORK
SCOPUS;2015;Components of a multi-perspective modeling method for designing and managing IT security systems
SCOPUS;2015;Requirements-driven self-optimization of composite services using feedback control
SCOPUS;2015;The e-mobility case study
SCOPUS;2015;Challenges in rendering and maintaining trustworthiness for long-living software systems
SCOPUS;2014;A framework for the operationalization of monitoring in business intelligence requirements engineering
SCOPUS;2014;Instantaneous Angular Speed (IAS) processing and related angular applications
SCOPUS;2014;The actor's view of automated planning and acting: A position paper
SCOPUS;2014;SOFSEM 2014: Theory and Practice of Computer Science - 40th International Conference on Current Trends in Theory and Practice of Computer Science, Proceedings
SCOPUS;2014;A self-tuning scientific framework using model-driven engineering for heterogeneous execution platforms
SCOPUS;2014;Uncertainty handling in goal-driven self-optimization - Limiting the negative effect on adaptation
SCOPUS;2014;Disease surveillance and patient care in remote regions: an exploratory study of collaboration among health-care professionals in Amazonia
SCOPUS;2014;Taking goal models downstream: A systematic roadmap
SCOPUS;2014;Achieving runtime adaptability through automated model evolution and variant selection
SCOPUS;2014;Towards monitoring cloud services using Models@run.time
SCOPUS;2014;Feedback-aware requirements documents for smart devices
SCOPUS;2014;A Requirements Monitoring Infrastructure for Very-Large-Scale Software Systems
SCOPUS;2014;The observer-based technique for requirements validation in embedded real-time systems
SCOPUS;2014;Self-explanation in adaptive systems based on runtime goal-based models
SCOPUS;2014;Software evaluation via users' feedback at runtime
SCOPUS;2014;Rationalism with a dose of empiricism: Case-based reasoning for requirements-driven self-adaptation
SCOPUS;2014;Semiautomatic security requirements engineering and evolution using decision documentation, heuristics, and user monitoring
SCOPUS;2014;Implementation decision making for internetware driven by quality requirements
SCOPUS;2014;The requirements problem for adaptive systems
SCOPUS;2014;Requirements-driven social adaptation: Expert survey
SCOPUS;2014;6th Workshop on Software Engineering for Resilient Systems, SERENE 2014
SCOPUS;2014;2014 IEEE 1st International Workshop on Evolving Security and Privacy Requirements Engineering, ESPRE 2014 - Proceedings
SCOPUS;2014;Requirement analysis and metric development for public participatory GIS
SCOPUS;2014;Improving business value assurance in large-scale IT projects - A quantitative method based on founded requirements assessment
SCOPUS;2014;Flexibility requirements in real-world process scenarios and prototypical realization in the care domain
SCOPUS;2014;Taking care of elderly people with chronic conditions using ambient assisted living technology: The ADVENT perspective
SCOPUS;2014;Robotics and artificial intelligence: A perspective on deliberation functions
SCOPUS;2014;Dealing with multiple failures in zanshin: A control-theoretic approach
SCOPUS;2014;A middleware and policy-based adaptation framework to simplify software evolution: An implementation on unit trust enterprise system
SCOPUS;2014;Research on teaching evaluation system modeling based on UML
SCOPUS;2014;Power efficient ultra wide band based wireless body area networks with narrowband feedback path
SCOPUS;2014;Semantic requirements analysis for the Integrated Earth Observation Sensor Web for the digital earth
SCOPUS;2014;System requirements for an advanced cockpit to reduce workload and stress
SCOPUS;2014;A requirements-led approach for specifying QoS-aware service choreographies: An experience report
SCOPUS;2014;33rd International Conference on Conceptual Modeling, ER 2014
SCOPUS;2014;9th International Conference on Dependability and Complex Systems, DepCoS-RELCOMEX 2014
SCOPUS;2014;Telemonitoring of patients with Parkinson's disease using inertia sensors
SCOPUS;2013;Designing an adaptive computer-aided ambulance dispatch system with Zanshin: An experience report
SCOPUS;2013;Requirements models for design- and runtime: A position paper
SCOPUS;2013;From GMoDS models to object-oriented specifications in Event-B
SCOPUS;2013;Computing' requirements in open source software projects
SCOPUS;2013;2013 5th International Workshop on Modeling in Software Engineering, MiSE 2013 - Proceedings
SCOPUS;2013;Ontological goal modelling for proactive assistive living in smart environments
SCOPUS;2013;A systematic approach to generate and clarify consistent requirements
SCOPUS;2013;Requirements-driven software evolution
SCOPUS;2013;Product-Focused Software Process Improvement - 14th International Conference, PROFES 2013, Proceedings
SCOPUS;2013;Intention-oriented programming support for runtime adaptive autonomic cloud-based applications
SCOPUS;2013;A green model for sustainable software engineering
SCOPUS;2013;Runtime goal models: Keynote
SCOPUS;2013;Using goals and customizable services to improve adaptability of process-based service compositions
SCOPUS;2013;7th International Conference on Research Challenges in Information Science, RCIS 2013 - Conference Proceedings
SCOPUS;2013;Synthesis of observers for autonomic evolutionary systems from requirements models
SCOPUS;2013;Security requirement of end point security software
SCOPUS;2013;Early accessibility evaluation in web application development
SCOPUS;2013;Support for intention driven cloud government entitlement services
SCOPUS;2013;Mid Sweden University: A survey of wireless sensor networks for home healthcare monitoring application
SCOPUS;2013;Intention-oriented modelling support for GORE in elastic cloud applications
SCOPUS;2013;Supporting decision-making for self-adaptive systems: From goal models to dynamic decision networks
SCOPUS;2013;Monitoring system-of-systems requirements in multi product lines
SCOPUS;2013;Context-awareness for self-adaptive applications in ubiquitous computing environments
SCOPUS;2013;Autonomy requirements engineering
SCOPUS;2013;Self-adaptive systems requirements modelling: Four related approaches comparison
SCOPUS;2013;Harnessing evolutionary computation to enable dynamically adaptive systems to manage uncertainty
SCOPUS;2013;Requirements and architectures for adaptive systems
SCOPUS;2013;Using requirements models at runtime: Potential and challenges [Usando Modelos de Requisitos em Tempo de Execução: Potencial e Desafios]
SCOPUS;2013;Data requirements analysis based on China's agricultural monitoring and early-warning
SCOPUS;2013;Business process configuration with NFRs and context-awareness
SCOPUS;2013;Active and adaptive services resource provisioning with personalized customization
SCOPUS;2013;An Android based home automation system
SCOPUS;2013;Getting more from requirements traceability: Requirements testing progress
SCOPUS;2013;2013 IEEE Conference on Open Systems, ICOS 2013
SCOPUS;2013;Proceedings - 17th IEEE International Enterprise Distributed Object Computing Conference, EDOC 2013
SCOPUS;2013;7th International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE 2012
SCOPUS;2013;Proceedings - IEEE 5th International Conference on Cloud Computing Technology and Science, CloudCom 2013
SCOPUS;2013;Proceedings - IEEE 5th International Conference on Cloud Computing Technology and Science, CloudCom 2013
SCOPUS;2012;Mitigating the obsolescence of quality specifications models in service-based systems
SCOPUS;2012;From use cases and their relationships to code
SCOPUS;2012;SecuriTAS: A tool for engineering adaptive security
SCOPUS;2012;EuroPLoP 2011 - 16th European Conference on Pattern Languages of Programs, Invited Post-Proceedings
SCOPUS;2012;Model driven provisioning in multi-tenant clouds
SCOPUS;2012;A high-rate, low-power, ASIC speech decoder using finite state transducers
SCOPUS;2012;Stateful requirements monitoring for self-repairing socio-technical systems
SCOPUS;2012;Requirements-driven adaptive security: Protecting variable assets at runtime
SCOPUS;2012;Run-time model evaluation for requirements model-driven self-adaptation
SCOPUS;2012;Privacy arguments: Analysing selective disclosure requirements for mobile applications
SCOPUS;2012;Market-aware requirements
SCOPUS;2012;Requirements-driven qualitative adaptation
SCOPUS;2012;Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop
SCOPUS;2012;Proceedings of the 7th Workshop on Models@run.time, MRT 2012 - Being Part of the ACM/IEEE 15th International Conference on Model Driven Engineering Languages and Systems, MODELS 2012
SCOPUS;2012;Goal models as run-time entities in context-aware systems
SCOPUS;2012;The research of software requirements analysis of core needs
SCOPUS;2012;Service-driven migrating of enterprise information systems: A case study
SCOPUS;2012;Towards dynamic evolution of self-Adaptive systems based on dynamic updating of control loops
SCOPUS;2012;Proceedings - 2012 8th International Conference on the Quality of Information and Communications Technology, QUATIC 2012
SCOPUS;2012;Automated testing of Web Services system based on OWL-S
SCOPUS;2012;An ontology-based data acquisition infrastructure using ontologies to create domain-independent software systems
SCOPUS;2012;Analysing monitoring and switching problems for adaptive systems
SCOPUS;2012;Social media in the context of academic marketing: Case study: Evaluation of the umwelt-campus campaign
SCOPUS;2012;On the Move to Meaningful Internet Systems: OTM 2012 Workshops - Confederated International Workshops: OTM Academy, Industry Case Studies Program, EI2N, INBAST, META4eS, OnToContent, ORM, SeDeS, SINCOM, and SOMOCO 2012, Proceedings
SCOPUS;2012;Scenario-driven development of context-aware adaptive web services
SCOPUS;2012;Approaches for mastering change
SCOPUS;2012;Construction and implementation of surveillance system for software engineering oriented training
SCOPUS;2012;Relaxing claims: Coping with uncertainty while evaluating assumptions at run time
SCOPUS;2012;The multi-processor scheduling problem in phylogenetics
SCOPUS;2012;Uncertainty modeling of self-adaptive software requirement
SCOPUS;2012;Applying SOFL to construct requirements specification for examination monitoring system
SCOPUS;2012;A foundation for requirements analysis of privacy preserving software
SCOPUS;2012;Intelligent supervision and tracing system for food quality under the internet of things
SCOPUS;2012;(Requirement) evolution requirements for adaptive systems
SCOPUS;2012;A taxonomy of uncertainty for dynamically adaptive systems
SCOPUS;2012;A requirements-based approach for the design of adaptive systems
SCOPUS;2012;Towards smart user interface design
SCOPUS;2012;Intention-oriented modelling support for socio-technical driven elastic cloud applications
SCOPUS;2012;Monitoring strategic goals in data warehouses with awareness requirements
SCOPUS;2012;A novel approach to design a scalable air quality monitoring system
SCOPUS;2012;Ambient Assisted Living system for in-home monitoring of healthy independent elders
SCOPUS;2012;Security threats and security policy in wireless sensor networks
SCOPUS;2012;Process warehouses in practice: A goal-driven method for business process analysis
SCOPUS;2012;A framework for service-based business process collaboration
SCOPUS;2012;Requirements monitoring for adaptive service-based applications
SCOPUS;2012;Engineering Secure Software and Systems - 4th International Symposium, ESSoS 2012, Proceedings
SCOPUS;2012;Towards a goal-driven approach to action selection in self-adaptive software
SCOPUS;2012;Optimizing monitoring requirements in self-adaptive systems
SCOPUS;2012;How to design and deliver process context sensitive information: Concept and prototype
SCOPUS;2012;Using RELAX, SysML and KAOS for ambient systems requirements modeling
SCOPUS;2012;Problem frames analysis over sysML model for critical goods transportation monitoring system
SCOPUS;2012;Value models for engineering of complex Sustainable Systems
SCOPUS;2012;Monitoring value webs
SCOPUS;2012;A tool for managing evolving security requirements
SCOPUS;2011;Run-time resolution of uncertainty
SCOPUS;2011;Are your sites down? Requirements-driven self-tuning for the survivability of web systems
SCOPUS;2011;Modelling adaptability and variability in requirements
SCOPUS;2011;Software requirements change taxonomy: Evaluation by case study
SCOPUS;2011;Towards adaptive systems through requirements@runtime?
SCOPUS;2011;Intentional models based on measurement theory
SCOPUS;2011;Requirement analysis in agile software development of distributed systems
SCOPUS;2011;Empirical evaluation of tropos4AS modelling
SCOPUS;2011;"Development of agent-driven systems: From i* architectural models to intentional agents' code"
SCOPUS;2011;Service level agreement parameter matching in cloud computing
SCOPUS;2011;A tool for managing evolving security requirements
SCOPUS;2011;From awareness requirements to adaptive systems: A control-theoretic approach
SCOPUS;2011;Compliance management with measurement frameworks
SCOPUS;2011;Dealing with softgoals at runtime: A fuzzy logic approach
SCOPUS;2011;Reasoning about adaptive requirements for self-adaptive systems at runtime
SCOPUS;2011;Requirements models at run-time to support consistent system evolutions
SCOPUS;2011;Proceedings of the 2011 2nd International Workshop on Requirements@Run. Time, RE@RunTime 2011
SCOPUS;2011;Enforcing safety requirements for industrial automation systems at runtime position paper
SCOPUS;2011;Foreword: 2nd workshop requirements@run.time
SCOPUS;2011;Enterprise monitoring ontology
SCOPUS;2011;Social software product lines
SCOPUS;2011;Monitoring fuzzy temporal requirements for service compositions: Motivations, challenges and experimental results
SCOPUS;2011;Goal-driven adaptation of service-based systems from runtime monitoring data
SCOPUS;2011;Automatic derivation of utility functions for monitoring software requirements
SCOPUS;2011;Social sensing: When users become monitors
SCOPUS;2011;Adaptive service composition based on runtime requirements monitoring
SCOPUS;2011;An event driven model for context-aware service
SCOPUS;2011;"Smart work workbench, Integrated tool for IT services planning, management, execution and evaluation"
SCOPUS;2011;Security requirements analysis, specification, prioritization and policy development in cyber-physical systems
SCOPUS;2011;Requirement analysis of ubiquitous intelligence system for personal diet formulation and maintenance
SCOPUS;2011;A time series for monitoring vegetation activity and phenology at 10-daily time steps covering large parts of South America
SCOPUS;2011;A practical formal approach for requirements validation and verification of dependable systems
SCOPUS;2011;Requirements engineering for self-adaptive systems: Core ontology and problem statement
SCOPUS;2011;An adaptive N-variant software architecture for multi-core platforms: Models and performance analysis
SCOPUS;2011;A BDI agent programming language with failure handling, declarative goals, and planning
SCOPUS;2011;Runtime models for automatic reorganization of multi-robot systems
SCOPUS;2011;Awareness requirements for adaptive systems
SCOPUS;2011;A memory for goals model of sequence errors
SCOPUS;2011;Systematic development of UMLsec design models based on security requirements
SCOPUS;2011;Towards self-managed systems aware of economic value
SCOPUS;2011;Satisfying user needs at the right time and in the right place: A research preview
SCOPUS;2011;Monitoring service systems from a language-action perspective
SCOPUS;2011;A Runtime evaluation methodology and framework for autonomic systems
SCOPUS;2011;Requirements evolution: From assumptions to reality
SCOPUS;2011;On the move to business-driven alignment of service monitoring requirements
SCOPUS;2010;A method to acquire compliance monitors from regulations
SCOPUS;2010;Adaptive software needs continuous verification
SCOPUS;2010;Run-time monitoring of system performance: A goal-oriented and system architecture simulation approach
SCOPUS;2010;Fuzzy goals for requirements-driven adaptation
SCOPUS;2010;Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications
SCOPUS;2010;2010 1st International Workshop on Requirements@Run.Time, RE@RunTime 2010
SCOPUS;2010;Requirements-aware systems: A research agenda for RE for self-adaptive systems
SCOPUS;2010;Self-tuning of software systems through goal-based feedback loop control
SCOPUS;2010;Foreword: First workshop requirements@run.time
SCOPUS;2010;Requirements engineering for adaptive Service Based Applications
SCOPUS;2010;Risk-based confidentiality requirements specification for outsourced IT systems
SCOPUS;2010;Round tripping in component based software development
SCOPUS;2010;Architecture design of disaster risk assessment and warning system based on UML
SCOPUS;2010;Runtime adaptability through automated model evolution
SCOPUS;2010;A metamodel for aspect-oriented analysis approach
SCOPUS;2010;Developing business process monitoring strategy in a supply chain using information requirements analysis
SCOPUS;2010;iStar 2010 - Proceedings of the 4th International i* Workshop
SCOPUS;2010;SIGAda 2010 - Proceedings of the 2010 ACM International Conference on Ada and Related Technologies
SCOPUS;2010;Design boundary objects - Development guidelines for financial data warehouse projects
SCOPUS;2010;Research of GIS based comprehensive monitoring technology for wind farms
SCOPUS;2010;Requirements analysis for a traceability system for management wood supply chain on Amazon forest
SCOPUS;2010;Interaction-driven self-adaptation of service ensembles
SCOPUS;2010;Laying the groundwork for assisted rehabilitation
SCOPUS;2010;From adaptive systems design to autonomous agent design
SCOPUS;2010;A generic architecture for surveillance systems
SCOPUS;2010;Research on monitoring quality of 3G streaming media service
SCOPUS;2010;An event-based methodology to generate class diagrams and its empirical evaluation
SCOPUS;2010;Model-based platform-specific co-design methodology for dynamically partially reconfigurable systems with hardware virtualization and preemption
SCOPUS;2010;Proceedings 2010 IEEE International Conference on Software Engineering and Service Sciences, ICSESS 2010
SCOPUS;2010;Adaptive goals for self-adaptive service compositions
SCOPUS;2010;Design of network action surveillance system based on internet real-name system
SCOPUS;2010;Software architecture for the ECU of automated manual transmission
SCOPUS;2010;First step towards a domain specific language for self-adaptive systems
SCOPUS;2010;CEMS monitoring system of EPA based on WEB
SCOPUS;2010;Preliminary design and development of industrial inspection e-monitoring system
SCOPUS;2010;Tarmac delay surveillance and mitigation system: Requirements analysis for nextgen
SCOPUS;2010;An agent-based system to support assurance of security requirements
SCOPUS;2010;A goal-based framework for contextual requirements modeling and analysis
SCOPUS;2010;Requirements reflection: Requirements as runtime entities
SCOPUS;2010;Dynamically adaptive systems through automated model evolution using service compositions
SCOPUS;2010;Live goals for adaptive service compositions
SCOPUS;2010;Wireless Sensor Networks for Structural Health Monitoring: Considerations for communication protocol design
SCOPUS;2010;RELAX: A language to address uncertainty in self-adaptive systems requirement
SCOPUS;2010;A BDI agent programming language with failure handling, declarative goals, and planning
SCOPUS;2010;Enterprise systems requirement analysis for process-centric continuous monitoring
SCOPUS;2009;Do you smell rotten eggs?' Evaluating interactions with mobile agents in crisis response situations
SCOPUS;2009;Performance impact analysis with KPP using application response measurement in E-government systems
SCOPUS;2009;Monitoring and diagnosing malicious attacks with autonomic software
SCOPUS;2009;A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty
SCOPUS;2009;Reasoning on non-functional requirements for integrated services
SCOPUS;2009;RELAX: Incorporating uncertainty into the specification of self-adaptive systems
SCOPUS;2009;Specifying requirements for real-time systems
SCOPUS;2009;Model transformation of dependability-focused requirements models
SCOPUS;2009;Feature Interactions in Software and Communication Systems X
SCOPUS;2009;Towards development of Web applications based on User Interface Services - A requirement analysis
SCOPUS;2009;Self-repair through reconfiguration: A requirements engineering approach
SCOPUS;2009;The explore of the law role in software requirements engineering
SCOPUS;2009;Requirements engineering based on business process models: A case study
SCOPUS;2009;ASE2009 - 24th IEEE/ACM International Conference on Automated Software Engineering
SCOPUS;2009;Mapping semantically enriched Formal Tropos to business process models
SCOPUS;2009;Performance models to predict the productivity of projects: A practical application
SCOPUS;2009;Are your lights off? Using problem frames to diagnose system failures
SCOPUS;2009;Proceedings of the Forum at the CAiSE 2009 Conference
SCOPUS;2009;Study on China Digital Ocean Prototype System
SCOPUS;2009;An interface language of value-added service creation based on capability-injection
SCOPUS;2009;Natural Language Processing and Information Systems - 14th International Conference on Applications of Natural Language to Information Systems, NLDB 2009, Revised Papers
SCOPUS;2009;Do you smell rotten eggs?' Evaluating interactions with mobile agents in crisis response situations
SCOPUS;2009;Efficient large-scale model checking
SCOPUS;2009;OSAMI-D: An open service platform for healthcare monitoring applications
SCOPUS;2009;Proceedings of the 2009 ICSE Workshop on Aspect-Oriented Requirements Engineering and Architecture Design, EA 2009
SCOPUS;2009;Engineering adaptive requirements
SCOPUS;2009;RUP-based process model for security requirements engineering in value-added service development
SCOPUS;2009;Runtime monitoring of cross-cutting policy
SCOPUS;2009;From requirements to embedded software - Formalising the key steps
SCOPUS;2009;Situ: A situation-theoretic approach to context-aware service evolution
SCOPUS;2009;Critical infrastructures security modeling, enforcement and runtime checking
SCOPUS;2009;Requirements tracing to support change in dynamically adaptive systems
SCOPUS;2009;BPEL fragments for modularized reuse in modeling BPEL processes
SCOPUS;2009;Ontological support for managing non-functional requirements in pervasive healthcare
SCOPUS;2009;Emergency response workflow resource requirements modeling and analysis
SCOPUS;2009;Specifying and monitoring interactions and commitments in open business processes
SCOPUS;2009;On software requirement metrics based on six-sigma
SCOPUS;2009;Monitoring and diagnosing software requirements
SCOPUS;2009;Requirements evolution and what (research) to do about it
SCOPUS;2009;Operational semantics of goal models in adaptive agents
SCOPUS;2009;Software self-reconfiguration: A BDI-based approach
SCOPUS;2009;Designs can talk: A case of feedback for design evolution in assistive technology
SCOPUS;2009;Managing legal texts in requirements engineering
SCOPUS;2009;On technology convergence and platforms: Requirements challenges from new technologies and system architectures
SCOPUS;2008;Agent based seamless context-aware service for moving learners in ubiquitous computing environment
SCOPUS;2008;Multi-level system integration based on autosar
SCOPUS;2008;Secure workflow development from early requirements analysis
SCOPUS;2008;Towards goal-driven self optimisation of service based applications
SCOPUS;2008;Goal support towards business processes modelling
SCOPUS;2008;Requirements capture with RCAT
SCOPUS;2008;Requirements engineering for software in emerging markets
SCOPUS;2008;Designs can talk: A case of feedback for design evolution in assistive technology
SCOPUS;2008;Compliance of semantic constraints - A requirements analysis for process management systems
SCOPUS;2008;Building contingencies into specifications
SCOPUS;2008;Methodology and tools for the design and verification of a smart management system for home comfort
SCOPUS;2008;Enterprise information system security: A life-cycle approach
SCOPUS;2008;Automated mapping from goal models to self-adaptive systems
SCOPUS;2008;A Requirements engineering process model for distributed software development lessons learned
SCOPUS;2008;Project quality of off-shore virtual teams engaged in software requirements analysis: An exploratory comparative study
SCOPUS;2008;A human-machine dimensional inference ontology that weaves human intentions and requirements of context awareness systems
SCOPUS;2008;Putting business into business process models
SCOPUS;2008;A Framework for Requirements Engineering Process Development (FRERE)
SCOPUS;2008;Workflow resource requirement modeling and analysis
SCOPUS;2008;GOLD infrastructure for virtual organizations
SCOPUS;2008;When to adapt? Identification of problem domains for adaptive systems
SCOPUS;2008;Goal-based modeling of Dynamically Adaptive System requirements
SCOPUS;2008;Development of context-aware systems to support human-human communication and collaboration
SCOPUS;2008;Refining goal models by evaluating system behaviour
SCOPUS;2008;Developing a multiagent conference management system using the O-MaSE process framework
SCOPUS;2008;A reflective framework for fine-grained adaptation of aspect-oriented compositions
SCOPUS;2008;A conceptual view on trajectories
SCOPUS;2007;Setting and evaluation of flexible points on software user interface
SCOPUS;2007;Architectural adaptation addressing the criteria of multiple quality attributes in mission-critical systems
SCOPUS;2007;Adaptive agent model: An agent interaction and computation model
SCOPUS;2007;Visualizing the analysis of dynamically adaptive systems using i* and DSLs
SCOPUS;2007;An automated approach to monitoring and diagnosing requirements
SCOPUS;2007;From a goal-oriented methodology to a BDI agent language: The case of Tropos and alan
SCOPUS;2007;"A unified requirements model, integrating features, use cases, requirements, requirements analysis and hazard analysis"
SCOPUS;2007;Investigating an 'agile-rigid' approach in globally distributed requirements analysis
SCOPUS;2007;Runtime service discovery and reconfiguration using OWL-S based semantic web service
SCOPUS;2007;Dynamic requirements specification for adaptable and open service systems
SCOPUS;2007;Requirements-driven design and configuration management of business processes
SCOPUS;2007;Towards variability design as decision boundary placement
SCOPUS;2007;Addressing legal requirements in requirements engineering
SCOPUS;2007;Applying requirements monitoring for autonomic computing in a combat management system
SCOPUS;2007;Informed evolution
SCOPUS;2007;Pedestrian navigation systems: A case study of deep personalization
SCOPUS;2007;Smart distribution of bio-signal processing tasks in M-health
SCOPUS;2007;Secure service orchestration
SCOPUS;2007;Implicit phasing for R6RS libraries
SCOPUS;2007;Path-based error propagation analysis in composition of software services
SCOPUS;2007;Dynamic requirements specification for adaptable and open service-oriented systems
SCOPUS;2007;The interface of VISTO, a new vector image search tool
SCOPUS;2007;Business process monitoring and alignment: An approach based on the user requirements notation and business intelligence tools
SCOPUS;2007;Using stakeholder-driven process performance measurement for monitoring the performance of a Scrum-based software development process
SCOPUS;2007;Specifying monitoring and switching problems in context
SCOPUS;2007;Monitoring group behavior in goal-directed agents using Co-efficient plan observation
SCOPUS;2007;A policy language for distributed usage control
SCOPUS;2007;Proceedings of the 10th Workshop on Requirements Engineering, WER 2007
SCOPUS;2007;Euro-Par 2006 Workshops: Parallel Processing CoreGRID 2006, UNICORE Summit 2006, Petascale Computational Biology and Bioinformatics Revised Selected Papers
SCOPUS;2007;Trade-off between performance and energy consumption in wireless sensor networks
SCOPUS;2007;Requirements change management process models: An evaluation
SCOPUS;2007;MOFBAN: A lightweight modular framework for body area networks
SCOPUS;2007;Improving network infrastructure security using geospatial technology
SCOPUS;2007;Agent-Oriented Software Engineering VII: 7th International Workshop, AOSE 2006 Revised and Invited Papers
SCOPUS;2007;Proceedings - International Conference on Global Software Engineering, ICGSE 2007
SCOPUS;2007;GOOD ROUTE HMI for actors involved in dangerous goods transportation
SCOPUS;2007;The business process knowledge framework
SCOPUS;2007;SBPM 2007 - Proceedings of the Workshop on Semantic Business Process and Product Lifecycle Management, Held in Conjunction with the 3rd European Semantic Web Conference, ESWC 2007
SCOPUS;2007;Service level agreements: Web services and security
SCOPUS;2007;Combining model processing and middleware configuration for building distributed high-integrity systems
SCOPUS;2007;An approach to automated agent deployment in service-based systems
SCOPUS;2007;Runtime verification and monitoring of embedded systems
SCOPUS;2007;Development and evaluation of a vehicle-infrastructure integration simulation architecture
SCOPUS;2007;Towards security monitoring patterns
SCOPUS;2007;A classification-based approach to policy refinement
SCOPUS;2007;Towards autonomic management of communications networks
SCOPUS;2007;Integrated perimeter security system
SCOPUS;2007;A job pause service under LAM/MPI+BLCR for transparent fault tolerance
SCOPUS;2007;A framework for supporting dynamic systems co-evolution
SCOPUS;2007;The role of roles in supporting reconfigurability and fault localizations for open distributed and embedded systems
SCOPUS;2007;Building secure products and solutions
SCOPUS;2007;A configurable event correlation architecture for adaptive J2EE applications
SCOPUS;2007;A factory to design and buid tailorable and verifiable middleware
SCOPUS;2007;Workflow automation for processing plasma fusion simulation data
SCOPUS;2007;Monitoring requirements evolution using views
SCOPUS;2007;Early verification and validation of mission critical systems
SCOPUS;2007;On extending WS-Policy with specification of XML Web service semantics, monitoring, and control driven by business value
SCOPUS;2007;Enhancing residential gateways: OSGi service composition
SCOPUS;2007;Using Microcomponents and Design Patterns to Build Evolutionary Transaction Services
SCOPUS;2006;An efficient heuristic for selecting active nodes in wireless sensor networks
SCOPUS;2006;ANIS: A negotiated integration of services in distributed environments
SCOPUS;2006;Requirements-driven design of autonomic application software
SCOPUS;2006;Elevating interaction requirements for web service composition
SCOPUS;2006;Dynamic weaving of security aspects in service composition
SCOPUS;2006;Efficient trace monitoring
SCOPUS;2006;FPGA implementation of dynamic run-time behavior reconfiguration in robots
SCOPUS;2006;An information infrastructure for coordinating earth science observations
SCOPUS;2006;Extended web services framework to meet non-functional requirements
SCOPUS;2006;Keeping track of crosscutting requirements in UML models via context-based constraints
SCOPUS;2006;A five-step method for value-based planning and monitoring of systems engineering projects
SCOPUS;2006;Procedure model for the analysis and design of reporting systems- A case study in conceptual modelling
SCOPUS;2006;Proceedings of the 30th Annual IEEE/NASA Software Engineering Workshop, SEW-30
SCOPUS;2006;Requirement change management process models: Activities, artifacts and roles
SCOPUS;2006;Proceedings of the 10th IASTED International Conference on Software Engineering and Applications, SEA 2006
SCOPUS;2006;AuViM: A middleware for audio/video sensor networks
SCOPUS;2006;Policy-driven middleware for self-adaptation of Web services compositions
SCOPUS;2006;Requirement error abstraction and classification: An empirical study
SCOPUS;2006;Managing information security complexity
SCOPUS;2006;WSCPC: An architecture using semantic web services for collaborative product commerce
SCOPUS;2006;Evolutionary method engineering: Towards a method for the analysis and conception of management information systems
SCOPUS;2006;A comparison of nearest neighbor search algorithms for generic object recognition
SCOPUS;2006;Proceedings 2006 Australian Software Engineering Conference
SCOPUS;2006;Improving exception handling by discovering change dependencies in adaptive process management systems
SCOPUS;2006;The application of B-bpline neurofuzzy networks for condition monitoring of metal cutting tool
SCOPUS;2006;Comparative evaluation of dependability characteristics for peer-to-peer architectural styles by simulation
SCOPUS;2006;Meeting business objectives through adaptive information and communications technology
SCOPUS;2006;Transaction management for m-commerce at a mobile terminal
SCOPUS;2006;An agent based synchronization scheme for multimedia applications
SCOPUS;2006;Abstract machine and structural availability
SCOPUS;2006;Comparing requirements analysis methods for developing reusable component libraries
SCOPUS;2005;Compile-time stack requirements analysis with GCC motivation, development, and experiments results
SCOPUS;2005;Monitoring and control in requirements analysis
SCOPUS;2005;A PES for use in highly safety-critical control
SCOPUS;2005;The MAIS approach to web service design
SCOPUS;2005;Component-based system development
SCOPUS;2005;Remote control and monitoring of an underground robotic drilling equipment for landfill remediation
SCOPUS;2005;Towards a Universal Access code of practice in health telematics
SCOPUS;2005;Toward improvement-oriented reuse of experience in engineering design processes
SCOPUS;2005;The design of smart homes for people with dementia - User-interface aspects
SCOPUS;2005;ATE applied into fault modeling and fault diagnosis of AC servo motor PWM driver system
SCOPUS;2005;The role of deferred requirements in a longitudinal study of entailing
SCOPUS;2005;Modeling Security Requirements through ownership, permission and delegation
