Source;Year;Title;Keywords;Abstract
Engineering Village;2011;Requirements engineering for self-adaptive systems: Core ontology and problem statement;;The vision for self-adaptive systems (SAS) is that they should continuously adapt their behavior at runtime in response to changing user's requirements, operating contexts, and resource availability. Realizing this vision requires that we understand precisely how the various steps in the engineering of SAS depart from the established body of knowledge in information systems engineering. We focus in this paper on the requirements engineering for SAS. We argue that SAS need to have an internal representation of the requirements problem that they are solving for their users. We formally define a minimal set of concepts and relations needed to formulate the requirements problem, its solutions, the changes in its formulation that arise from changes in the operating context, requirements, and resource availability. We thereby precisely define the runtime requirements adaptation problem that a SAS should be engineered to solve. © 2011 Springer-Verlag.
Engineering Village;2008;When to adapt? Identification of problem domains for adaptive systems;;Dynamically adaptive systems (DASs) change behaviour at run-time to operate in volatile environments. As we learn how best to design and build systems with greater autonomy, we must also consider when to do so. Thus far, DASs have tended to showcase the benefits of adaptation infrastructures with little understanding of what characterizes the problem domains that require run-time adaptation. This position paper posits that context-dependent variation in the acceptable trade-offs between non-functional requirements is a key indicator of problems that require dynamically adaptive solutions. © 2008 Springer-Verlag Berlin Heidelberg.
Engineering Village;2013;End-to-end formal specification, validation, and verification process: A case study of space flight software;;The quality of requirements and the effectiveness of verification and validation (V&V) techniques in guaranteeing that a final system reflects its established requirements have a direct influence on the quality and dependability of the delivered system. The V&V process can be efficient from a managerial point of view, but ineffective from a technical perspective, and vice versa. This paper presents an end-to-end formal computer-aided specification, validation, and verification (SV&V) process, whose feasibility and effectiveness were evaluated against the flight software for the Brazilian Satellite Launcher. Unified modeling language (UML) statechart assertions, scenario-based validation, and runtime verification are used to formally specify and verify the system, and metrics of the ongoing process and its V&V results are collected during the application of the process. The results of the case study indicate that the process and its computer-aided environment were both technically feasible to apply and managerially effective, will likely scale well to cater to SV&V of mission-critical systems that have a larger number of behavioral requirements, and can be used for V&V in a distributed development environment. © 2007-2012 IEEE.
Engineering Village;2000;Field analysis: Getting useful and low-cost interprocedural information;;We present a new limited form of interprocedural analysis called field analysis that can be used by a compiler to reduce the costs of modern language features such as object-oriented programming, automatic memory management, and run-time checks required for type safety. Unlike many previous interprocedural analyses, our analysis is cheap, and does not require access to the entire program. Field analysis exploits the declared access restrictions placed on fields in a modular language (e.g. field access modifiers in Java) in order to determine useful properties of fields of an object. We describe our implementation of field analysis in the Swift optimizing compiler for Java, as well a set of optimizations that exploit the results of field analysis. These optimizations include removal of run-time tests, compile-time resolution of method calls, object inlining, removal of unncessary synchronization, and stack allocation. Our results demonstrate that field analysis is efficient and effective. Speedups average 7% on a wide range of applications, with some times reduced by up to 27%. Compile time overhead of field analysis is about 10%.
Engineering Village;2015;Cyber-physical systems design for runtime trustworthiness maintenance supported by tools;;The trustworthiness of cyber-physical systems is a critical factor for establishing wide-spread adoption of these systems. Hence, especially the behavior of safety-critical software components needs to be monitored and managed during system operation. Runtime trustworthiness maintenance should be planned and prepared in early requirements and design phases. This involves the identification of threats that may occur and affect user's trust at runtime, as well as related controls that can be executed to mitigate the threats. Furthermore, observable and measureable system quality properties have to be identified as indicators of threats, and interfaces for reporting these properties as well as for executing controls have to be designed and implemented. This paper presents a process model for preparing and designing systems for runtime trustworthiness maintenance, which is supported by several tools that facilitate the tasks to be performed by requirements engineers and system designers. Copyright © 2015 by the authors.
Engineering Village;2015;A tool for monitoring and maintaining system trustworthiness at runtime;;Trustworthiness of software systems is a key factor in their acceptance and effectiveness. This is especially the case for cyber-physical systems, where incorrect or even sub-optimal functioning of the system may have detrimental effects. In addition to designing systems with trustworthiness in mind, monitoring and maintaining trustworthiness at runtime is critical to identify issues that could negatively affect a system's trustworthiness. In this paper, we present a fully operational tool for system trustworthiness maintenance, covering a comprehensive set of quality attributes. It automatically detects, and in some cases mitigates, trustworthiness threatening events. The use of such a tool can enable complex software systems to support runtime adaptation and self-healing, thus reducing the overall upkeep cost and complexity. © 2015 by the authors.
Engineering Village;2014;Software evaluation via users' feedback at runtime;;Users' evaluation of software at runtime is a powerful tool which enables us to capture and communicate a richer and updated knowledge on how users view software throughout its life cycle. Users understand the software as a means to meet their requirements and, thus, giving them a voice in the continuous runtime evaluation of software would naturally need to fit this level of abstraction. That is, users' evaluation feedback would mainly communicate their judgment on the role of the system in meeting their requirements. Users' runtime evaluation feedback could be used to take autonomous or semi-autonomous runtime adaptation decisions or to support developers on taking evolution and maintenance decisions. Within this picture, our research focuses on to the development of a modeling and elicitation framework of users' evaluation feedback at runtime. This includes devising mechanisms to structure such an evaluation feedback in a way that makes it easy for users to express and developers to interpret. We motivate our work and articulate the problem and the set of research questions to address in our research and the method to follow and reach them. We also discuss our initial results on the topic. Copyright 2014 ACM.
Engineering Village;2007;Runtime verification and monitoring of embedded systems;;Ensuring the correctness of software applications is a difficult task. The area of runtime verification, which combines the approaches of formal verification and testing, offers a practical but limited solution that can help in finding many errors in software. Runtime verification relies upon tools for monitoring software execution. There are particular difficulties with regard to monitoring embedded systems. The concerns for arranging non-intrusive monitoring of embedded systems in a way that is suitable for use in runtime verification methods are considered here. A number of existing runtime verification tools are referenced, highlighting their requirement for monitoring solutions. Established and emerging approaches for the monitoring of software execution using execution monitors are reviewed, with an emphasis on the approaches that are best suited for use with embedded systems. A suggested solution for non-intrusive monitoring of embedded systems is presented. The conclusions summarise the possibilities for arranging non-intrusive monitoring of embedded systems, and the potential for runtime verification to utilise such monitoring approaches. © The Institution of Engineering and Technology 2007.
Engineering Village;2015;Context uncertainty in requirements engineering: Definition of a search strategy for a systematic review and preliminary results;;[Context and motivation] Cyber-physical systems (CPS) and selfadaptive systems (SAS) strongly rely on the context they are operating in and need to adapt their behavior at run-time based on contextual information. Therefore, it is challenging to completely predict the context of such systems for their entire operating time already at design time. [Question/problem] Since several approaches dealing with uncertainty have been proposed for different research and problem domains in recent years, some might provide valuable insights for the engineering of CPS or SAS in uncertain contexts. However, there is no study so far that provides an overview of them. [Principle ideas/results] Thus, we aim at conducting a systematic literature analysis to create a research landscape of approaches coping with context uncertainty. [Contribution] We manually searched one journal and the proceedings of two conferences in the requirements engineering field to determine and evaluate the adequateness of search strings to be used in an automated search. In doing so, we can furthermore present preliminary findings from the manual search for uncertainty in the requirements engineering field. © 2015 by the authors.
Engineering Village;2011;Towards self-managed systems aware of economic value;;Current self-managed systems do not take into account the economic value they exchange with external systems and services. While value-based software and requirements engineering approaches exist, they do not specifically deal with self-managed systems and their operations. These operations are typically associated with changing requirements, dynamic adaptations, and runtime reconfigurations, as well as changes in the environment. We argue that self-managed systems should be 'aware' of their requirements and the economic value created (or loosed) by their fulfillment (or not fulfillment) as well as the economic value exchanged with other systems. They should be able to reason and take actions based on this 'awareness', especially when their environmental conditions are changing (both technical and economic ones). More generally, self-managed systems should be able to reason about the systems' business goals and relate them with the Quality of Service they offer. This paper discusses these issues and proposes a generic architecture for addressing them. © 2010 IEEE.
Engineering Village;2012;Requirements-driven adaptive security: Protecting variable assets at runtime;;Security is primarily concerned with protecting assets from harm. Identifying and evaluating assets are therefore key activities in any security engineering process from modeling threats and attacks, discovering existing vulnerabilities, to selecting appropriate countermeasures. However, despite their crucial role, assets are often neglected during the development of secure software systems. Indeed, many systems are designed with fixed security boundaries and assumptions, without the possibility to adapt when assets change unexpectedly, new threats arise, or undiscovered vulnerabilities are revealed. To handle such changes, systems must be capable of dynamically enabling different security countermeasures. This paper promotes assets as first-class entities in engineering secure software systems. An asset model is related to requirements, expressed through a goal model, and the objectives of an attacker, expressed through a threat model. These models are then used as input to build a causal network to analyze system security in different situations, and to enable, when necessary, a set of countermeasures to mitigate security threats. The causal network is conceived as a runtime entity that tracks relevant changes that may arise at runtime, and enables a new set of countermeasures. We illustrate and evaluate our proposed approach by applying it to a substantive example concerned with security of mobile phones. © 2012 IEEE.
Engineering Village;2011;A Runtime evaluation methodology and framework for autonomic systems;;An autonomic system provides self-adaptive ability that enables system to dynamically adjust its behavior on environmental changes or system failure. Fundamental process of adaptive behavior in an autonomic system is consist of monitoring system or/and environment information, analyzing monitored information, planning adaptation policy and executing selected policy. Evaluating system utility is one of a significant part among them. We propose a novel approach on evaluating autonomic system at runtime. Our proposed method takes advantage of a goal model that has been widely used at requirement elicitation phase to capture system requirements. We suggest the state-based goal model that is dynamically activated as the system state changes. In addition, we defined type of constraints that can be used to evaluate goal satisfaction level. We implemented a prototype of autonomic computing software engine to verity our proposed method. We simulated the behavior of the autonomic computing engine with the home surveillance robot scenario and observed the validity of our proposed method.
Engineering Village;2007;Visualizing the analysis of dynamically adaptive systems using i* and DSLs;;Self-adaptation is emerging as a crucial enabling capability for many applications, particularly those deployed in dynamically changing environments. One key challenge posed by Dynamically Adaptive Systems (DASs) is the need to handle changes to the requirements und corresponding behavior of a DAS in response to varying environmental conditions. In this paper we propose a visual model-driven approach that uses the i* modeling language to represent goal models for the DAS requirements. Our approach applies a rigorous separation of concerns between the requirements for the DAS to operate in stable conditions and those that enable it to adapt at run-time to enable it to cope with changes in its environment. We further show how requirements derived from the i* modeling can be used by a domain-specific language to achieve requirements model-driven development. We describe our experiences with applying this approach to GridStix, an adaptive flood warning system, deployed on the River Ribble in North Yorkshire, England. © 2007 IEEE.
Engineering Village;2008;Multi-level system integration based on autosar;;The design of distributed embedded real-time system is a challenging task. Besides solving the control-engineering issues, one has to consider real-time scheduling, reliability and production requirements w.r.t. production cost of the electronic control unit (ECU). This has a considerable impact on the employed software design techniques. These design techniques are well known in the automotive software industry, but are applied with different flavors at each vehicle manufacturer and their suppliers. This situation has changed considerably with the results of the AUTOSAR development partnership, which unifies the flavors of automotive software design. Automotive software design is embedded in the so-called V-Cycle of embedded automotive system development [1]. It starts with the requirements analysis which results later on in a model of the control algorithm. The control algorithm is tested against a vehicle model and establishes the topmost level in system integration. The second system integration level is the adaptation of the control algorithm to be run on a rapid-prototyping system. The rapid-prototyping system is integrated into an existing E/E-architecture. The E/E-architecture consists of the ECUs connected by networks like CAN or FlexRay and gateways. Sensors- and actuators being used by several control algorithms are coupled to an ECU, which might propagate signals to other ECUs via a vehicle network. From the software point of view, the control-algorithm has now to respect real-time scheduling and the quantization of the sensor- and actuator signals, no matter whether these signals are generated on the rapid-prototyping system or exchanged via the bus with other ECUs. Further development steps in the V-cycle are the software implementation, the ECU- and the network integration. The integrated ECUs and networks are tested against vehicle models running on Hardware-in-the-loop (HiL) systems. If this works fine, the ECUs are integrated in the real vehicle for calibration. The software implementation and the ECU integration are deeply influenced by AUTOSAR. AUTOSAR is a development partnership of all stakeholders in the automotive software development (e.g. vehicle manufacturers and their suppliers) which unifies several software implementation techniques[2]. It describes a common ECU software architecture[3] consisting of configurable basic software modules (BSW), a runtime environment (RTE) and a software component description[4]. The software component description describes the interfaces for data-exchange as well as the access points for the RTE. The basic idea of AUTOSAR is to establish a so-called virtual functional bus (VFB) consisting of interconnected software components which are later mapped to an E/E-architecture. Currently, the VFB structure of AUTOSAR software architectures is mainly driven by the next generation E/E-architectures. The VFB structure forms the third system integration level. The next integration step into an AUTOSAR environment is the integration of the rapid-prototyping tested control algorithm to AUTOSAR software components. Since most VFB descriptions use fixed-point interfaces, the control algorithm has to be transformed to fixed-point arithmetic. If the control algorithm is modelled in tools like ASCET, this conversion can be achieved by code-generation. The same holds true for control algorithms already being used in E/E-architectures without an AUTOSAR software architecture. The VFB-description with the control-algorithms forms the fourth system integration level, which can be simulated with plant-models on a PC by tools like INTECRIO-VP. The fifth system integration level is given by the mapping process as defined in the AUTOSAR methodology[5] and requires the configuration of the RTE and the BSW modules for a single ECU. At this integration level, one can perform HiL testing and calibration in the same way as for non-AUTOSAR systems. Several evaluation projects, e.g. [6] and [7], have shown that the multi-level integration approach is feasible to guide the configuration capabilities of AUTOSAR software architectures.
Engineering Village;2003;Cyclone: A broadcast-free dynamic instruction scheduler with selective replay;;To achieve high instruction throughput, instruction schedulers must be capable of producing high-quality schedules that maximize functional unit utilization while at the same time enabling fast instruction issue logic. Many solutions exist to the scheduling problem, ranging from compile-time to run-time approaches. Compile-time solutions feature fast and simple hardware, but at the expense of conservative schedules. Dynamic schedulers produce high-quality schedules that incorporate run-time information and dependence speculation, but implementing these schedulers requires complex circuits that can slow processor clock speeds. In this paper, we present the Cyclone scheduler, a novel design that captures the benefits of both compile- and run-time scheduling. Our approach utilizes a list-based single-pass instruction scheduling algorithm, implemented by hardware at run-time in the front end of the processor pipeline. Once scheduled, instructions are injected into a timed queue that orchestrates their entry into execution. To accommodate branch and load/store dependence speculation, the Cyclone scheduler supports a simple selective replay mechanism. We implement this technique by overloading instruction register forwarding to also detect instructions dependent on incorrectly scheduled operations. Detailed simulation analyses suggest that with sufficient queue width, the Cyclone scheduler can rival the instruction throughput of similarly wide monolithic dynamic schedulers. Furthermore, the circuit complexity of the Cyclone scheduler is much more favorable than a broadcast-based scheduler, as our approach requires no global control signals.
Engineering Village;2007;Dynamic requirements specification for adaptable and open service systems;;The Dynamic Requirements Adaptation Method (DRAM) is suggested to assist existing RE methodologies in updating requirements specifications at runtime for adaptable and open service-oriented systems. Updates are needed because an adaptable and open system continually changes how and to what extent initial requirements are achieved. © 2007 IEEE.
Engineering Village;2011;Runtime models for automatic reorganization of multi-robot systems;;This paper presents a reusable framework for developing adaptive multi-robotic systems for heterogeneous robot teams using an organization-based approach. The framework is based on the Organizational Model for Adaptive Computational Systems (OMACS) and the Goal Model for Dynamic Systems (GMoDS). GMoDS is used to capture system-level goals that drive the system. OMACS is an abstract model used to capture the system configuration and allows the team to organize and reorganize without the need for explicit runtime reorganization rules. While OMACS provides an implicit reorganization capability, it also supports policies that can either guide or restrict the resulting organizations thus limiting unexpected or harmful adaptation. We demonstrate our framework by presenting the design and implementation of a multi-robot system for detecting improvised explosive devices. We then highlight the adaptability of the resulting system. © 2011 ACM.
Engineering Village;2015;A lightweight framework for dynamic GUI data verification based on scripts;;Summary: Runtime verification (RV) provides essential mechanisms to enhance software robustness and prevent malfunction. However, RV often entails complex and formal processes that could be avoided in scenarios in which only invariants or simple safety properties are verified, for example, when verifying input data in Graphical User Interfaces (GUIs). This paper describes S-DAVER, a lightweight framework aimed at supporting separate data verification in GUIs. All the verification processes are encapsulated in an independent layer and then transparently integrated into an application. The verification rules are specified in separate files and written in interpreted languages to be changed/reloaded at runtime without recompilation. Superimposed visual feedback is used to assist developers during the testing stage and to improve the experience of users during execution. S-DAVER provides a lightweight, easy-to-integrate and dynamic verification framework for GUI data. It is an integral part of the development, testing and execution stages. An implementation of S-DAVER was successfully integrated into existing open-source applications, with promising results. © 2015John Wiley & Sons, Ltd.
Engineering Village;2010;A metamodel for aspect-oriented analysis approach;;The Aspect-Oriented Requirements Analysis (AORA) approach concentrates on the identification, modularization, representation and composition of crosscutting concerns during Requirements Engineering. Crosscutting concerns are encapsulated in separate modules, known as aspects, and composition mechanisms are later used to compose them back with other core modules, at loading time, compilation time, or run-time. AORA is an integrated framework with a process model, a traceability schema, a conflict resolution technique and tool supporting. But for an approach to be more precisely defined a metamodel specification is desired. This paper presents a metamodel for AORA as a means to define its concepts, relationships and composition rules rigorously. © 2010 by CIbSE 2010.
Engineering Village;2013;Requirements and architectures for adaptive systems;;The growing interest in developing adaptive systems has led to numerous proposals for approaches aimed at supporting the development of such systems. Some approaches define adaptation mechanisms in terms of architectural designs, consisting of concepts such as components, connectors and states. Other approaches are requirements-based, thus concerned with goals, tasks, contexts and preferences as concepts in terms of which adaptation is defined. By considering only a partial view of software systems (either the problem space or the solution space), such proposals are limited in specifying the adaptive behavior of a software system. In this paper we present ongoing work towards deriving architectural models in order to support the design and runtime execution of software adaptation both at a requirements and architectural level.
Engineering Village;2008;A human-machine dimensional inference ontology that weaves human intentions and requirements of context awareness systems;;Changing system requirements, especially for context awareness (CA) systems, often cause modifications in the software systems in order to adapt to dynamic environments. Since the requirements may become temporarily obsolete or contrary to human intentions, the CA systems need to be tuned to resolve the conflict. On the other hand, most CA design methods rely on pre-defined requirements and reasoning engine, thus, fail to address all the possible situations. Consequently, services provided by such a CA system are limited to accommodate some situations and unable to react as expected. Therefore, it is critical for CA systems to capture exceptions at runtime, infer changed human intentions, and adapt to these changes. This study focuses on inference of ever-changing human intentions and monitoring human intentions to handle system evolution. In this paper, we present an inference mechanism of human intentions via the Human-machine Dimensional Inference Ontology (HDIO). This ontology gives inference rules based on the BDI logic to deduce human intentions from contexts. Furthermore, the inference exercises of a healthcare system example shows how user intentions relate to system requirements and how they help improve self-adaptability of CA systems. © 2008 IEEE.
Engineering Village;2002;Using indexed data structures for program specialization;;Given a program and values of static (fixed) inputs, program specialization generates an optimized version of the program that only requires dynamic (run-time) inputs. It has been an useful tool for such areas as operating systems, multimedia applications, and scientific applications. However, the size of specialized code may grow up exponentially which makes program specialization impractical for many applications. In this paper, we present a mechanism to address this problem by using indexed data structures. Unlike traditional program specialization, which encodes the result of specialization only into run-time code, our method encodes the values of multi-valued static expressions into indexed data structures and single-valued static expressions into run-time code. Because the sizes of the indexed data structures are much smaller than that of program code, we can overcome the size problem of program specialization. With a preliminary implementation for Java, we achieved improvement in performance up to a factor of 3 with very low memory and space requirements and overheads.
Engineering Village;2001;Extensibility via a meta-level architecture;;Meta-level architectures are recognized as a means to achieve run-time extensibility, and have been applied as such in existing hypermedia systems. Yet, designing a good meta-level architecture is notoriously hard and remains an art rather than a science. This paper shows how to derive a meta-level architecture for hypermedia navigation, thereby providing a way to control how third-party components interact with the linking engine. This extra level of control allows for a better and safer integration between an extensible system and the third-party components extending it.
Engineering Village;2011;Modelling adaptability and variability in requirements;;The requirements and design level identification and representation of dynamic variability for adaptive systems is a challenging task. This requires time and effort to identify and model the relevant elements as well as the need to consider the large number of potentially possible system configurations. Typically, each individual variability dimension needs to identified and modelled by enumerating each possible alternative. The full set of requirements needs to be reviewed to extract all potential variability dimensions. Moreover, each possible configuration of an adaptive system needs to be validated before use. In this demonstration, we present a tool suite that is able to manage dynamic variability in adaptive systems and tame such system complexity. This tool suite is able to automatically identify dynamic variability attributes such as variability dimensions, context, adaptation rules, and soft/hard goals from requirements documents. It also supports modelling of these artefacts as well as their run-time verification and validation. © 2011 IEEE.
Engineering Village;1999;A virtual hardware handler for RTR systems;;The design of a Virtual Hardware Handler for run-time reconfiguration is presented. A windows-based system that works with the VCC Hotworks board has been implemented and results are presented.
Engineering Village;2009;Proceedings of the 2009 ICSE Workshop on Aspect-Oriented Requirements Engineering and Architecture Design, EA 2009;;The proceedings contain 9 papers. The topics discussed include: automating the discovery of stable domain abstractions for reusable aspects,, runtime monitoring of cross-cutting policy,, support for aspectual modeling to multiagent system architecture,, heterogeneous pointcut expressions,, using tagging to identify and organize concerns during pre-requirements analysis,, concern tracing and change impact analysis: an exploratory study,, on modeling interactions of early aspects with goals,, promoting the software evolution in AOSD with early aspects: architecture-oriented model-based pointcuts,, and model driven development with non-functional aspects.
Engineering Village;2002;Using execution trace data to improve distributed systems;;One of the most challenging problems facing today's software engineer is to understand and modify distributed systems. One reason is that in actual use systems frequently behave differently than the developer intended. In order to cope with this challenge, we have developed a three-step method to study the run-time behavior of a distributed system. First, remote procedure calls are traced using CORBA interceptors. Next, the trace data is parsed to construct RPC call-return sequences, and summary statistics are generated. Finally, a visualization tool is used to study the statistics and look for anomalous behavior. We have been using this method on a large distributed system (more than 500000 lines of code) with data collected during both system testing and operation at a customer's site. Despite the fact that the distributed system had been in operation for over three years, the method has uncovered system configuration and efficiency problems. Using these discoveries, the system support group has been able to improve product performance and their own product maintenance procedures.
Engineering Village;2004;Strategies for handling the activity problem in runtime software evolution by reducing activity;;Different strategies to reduce the activity problem in runtime software evolutions, are presented. The circumstances under which those strategies are viable were also analyzed. A set of three properties that distinguish between the methods that are highly active for different reasons were proposed. A tool was created that automatically analyzes a running system and find the properties for any given methods. The main strategies for reducing the activity problem include outline parts at development time, outline non-blocking code at development time, outline updated part by runtime refractoring, and pause service of a method.
Engineering Village;2008;Compliance of semantic constraints - A requirements analysis for process management systems;;Key to the use of process management systems (PrMS) in practice is their ability to facilitate the implementation, execution, and adaptation of business processes while still being able to ensure error-free process executions. Mechanisms have been developed to prevent errors at the syntactic level such as deadlocks. In many application domains, processes often have to comply with business level rules and policies (i.e., semantic constraints). Hence, in order to ensure error-free executions at the semantic level, PrMS need certain control mechanisms for validating and ensuring the compliance with semantic constraints throughout the process lifecycle. In this paper, we discuss fundamental requirements for a comprehensive support of semantic constraints in PrMS. Moreover, we provide a survey on existing approaches and discuss to what extent they meet the requirements and which challenges still have to be tackled. Finally, we show how the challenge of life time compliance can be dealt with by integrating design time and runtime process validation.
Engineering Village;2015;Model-based generation of a requirements monitor;;Runtime representations of requirements have recently gained interested to deal with uncertainty in the environment and the term requirements at runtime has been established. Runtime representations of requirements support reasoning about the requirements at runtime and adapting the configuration of a system according to changes in the environment. Such systems often called self-adaptive systems. Core part of respective approaches in the field is a requirements monitor. That is, an instance which is able to observe the system's environment and to decide whether a requirement is broken, based on assertions. The problem addressed in this paper is how to generate the applicationspecific parts of a requirements monitor. Such a monitor consists of some goal model for decisions at runtime, assertions connected to the goal model, and parameters on which assertions are defined. We present in this paper a model-driven approach to enhance requirements documents by goal models, assertions, and parameters in a way which is (1) understandable to requirements engineers and (2) a sufficient basis for generating the requirements monitor. The contribution is an integrated view on requirements for self-adaptive systems and a concept for code generation. © 2015 by the authors.
Engineering Village;2007;Runtime service discovery and reconfiguration using OWL-S based semantic web service;;In recent business environment where collaboration between organizations is essential, business organization must fast adapt to changing user and market demands. SOC (Service-Oriented Computing) is believed to be a prominent paradigm for efficient businesses application development. Semantic web enables users to locate, select, employ, compose, and monitor Web-based services automatically. OWL-S, ontology of service, helps this location, selection, and composition of services. In this paper we propose a framework, to support dynamic reconfiguration of service-oriented applications. This framework supports semantic discovery, ranking, and dynamic reconfiguration of services using OWL-S based ontology. A prototype is provided to show the validity of this framework. © 2007 IEEE.
Engineering Village;2012;Approaches for mastering change;;Modern software systems are highly configurable and exist in many different variants in order to operate different application contexts. This is called static variability and predominantly considered in software product line engineering [6,14]. Furthermore, software systems have to evolve over time in order to dealwith changing requirements which is referred to by the term temporal evolvability [10,13]. Additionally, modern software systems are designed to dynamically adapt their internal structure and behavior at runtime dependent on their environment in order to efficiently use the available resources, such as energy or computing power [5]. These three dimensions of change, static variability, temporal evolvability and dynamic adaptation, increase the complexity of system development in all phase, from requirements engineering and system design to implementation and quality assurance. In [15], the challenges of static variability and temporal evolution in all phases of the software development process are discussed. In [15], the engineering challenges of self-adaptive systems are described and future research directions are pointed out. © 2012 Springer-Verlag.
Engineering Village;2008;Refining goal models by evaluating system behaviour;;Nowadays, information systems have to perform in complex, heterogeneous environments, considering a variety of system users with different needs and preferences. Software engineering methodologies need to cope with the complexity of requirements specification in such scenarios, where new requirements may emerge also at run-time and the system's goals are expected to evolve to meet new stakeholder needs. Following an agent-oriented approach, we are studying methods and techniques to design adaptive and evolvable information systems able to fulfill stakeholders' objectives. In a previous work we defined an Agent-Oriented framework to design and code system specifications in terms of goal models and we instantiated it in a tool supported process which exploits the Agent-Oriented Software Engineering methodology Tropos and the Multi-Agent Platform JADE/Jadex [11]. In this paper, we show how to use this framework to develop a system following an iterative process, where the system execution allows enriching the system specification given in terms of goal models. Experimental evaluation has been performed on a simple example and lead to the refinement of the designed goal model upon the analysis of the system's run-time behaviour. © 2008 Springer-Verlag Berlin Heidelberg.
Engineering Village;2014;Feedback-aware requirements documents for smart devices;;[Context/ Motivation] A smart device is a software-intensive system that operates autonomously and interacts to some degree with other systems over wireless connections. Such systems are often faced with uncertainty in the environment. Runtime representations of requirements have recently gained more interested to deal with this challenge and the term requirements at runtime has been established. Runtime representations of requirements support reasoning about the requirements at runtime and adapting the configuration of a system according to changes in the environment. [Questions/Problems] The research question is how the results of runtime monitoring of requirements and the system's decisions about changes in the configuration are communicated back to the requirements engineer to better understand the environment. There is a gap between the written requirements document and the dynamic requirements model inside the system. This problem is exacerbated by the fact that a requirements document are mostly informal while the dynamic requirements model is formal. [Principal ideas/results] This paper introduces an approach to bridge the gap between development time and runtime representations of requirements in order to keep them consistent and to facilitate better understanding. We propose to weave the feedback from the runtime system into requirements documents using a domain-specific language that largely retain the informal nature of requirements. An annotated requirements document helps get a better understanding of the system's actual behavior in a given environment. The approach is implemented using mbeddr, a novel set of domain-specific languages for developing embedded systems, and illustrated using a running example. © 2014 Springer International Publishing Switzerland.
Engineering Village;2009;Reasoning on non-functional requirements for integrated services;;We focus on non-functional requirements for applications offered by service integrators,, i.e., software that delivers service by composing services, independently developed, managed, and evolved by other service providers. In particular, we focus on requirements expressed in a probabilistic manner, such as reliability or performance. We illustrate a unified approach-a method and its support tools - which facilitates reasoning about requirements satisfaction as the system evolves dynamically. The approach relies on run-time monitoring and uses the data collected by the probes to detect if the behavior of the open environment in which the application is situated, such as usage profile or the external services currently bound to the application, deviates from the initially stated assumptions and whether this can lead to a failure of the application. This is achieved by keeping a model of the application alive at run time, automatically updating its parameters to reflect changes in the external world, and using the model's predictive capabilities to anticipate future failures, thus enabling suitable recovery plans. © 2009 IEEE.
Engineering Village;2009;Requirements evolution and what (research) to do about it;;Requirements evolution is a research problem that has received little attention hitherto, but deserves much more. For systems to survive in a volatile world, where business needs, government regulations and computing platforms keep changing, software systems must evolve too in order to survive. We discuss the state-of-the-art for research on the topic, and predict some of the research problems that will need to be addressed in the next decade. We conclude with a concrete proposal for a run-time monitoring framework based on (requirements) goal models. © Springer-Verlag Berlin Heidelberg 2009.
Engineering Village;2011;Automatic derivation of utility functions for monitoring software requirements;;Utility functions can be used to monitor requirements of a dynamically adaptive system (DAS). More specifically, a utility function maps monitoring information to a scalar value proportional to how well a requirement is satisfied. Utility functions may be manually elicited by requirements engineers, or indirectly inferred through statistical regression techniques. This paper presents a goal-based requirements model-driven approach for automatically deriving state-, metric-, and fuzzy logic-based utility functions for RELAXed goal models. State- and fuzzy logic-based utility functions are responsible for detecting requirements violations, and metric-based utility functions are used to detect conditions conducive to a requirements violation. We demonstrate the proposed approach by applying it to the goal model of an intelligent vehicle system (IVS) and use the derived utility functions to monitor the IVS under different environmental conditions at run time. © 2011 Springer-Verlag.
Engineering Village;2001;An architecture for re-engineering of client/server applications;;Netsiel's architectural approach to re-engineering client-server application is presented. The real case of a re-platform project for application of large dimensions composed from 5,000 Java classes and 10,000 Cobol programs.
Engineering Village;2007;A framework for supporting dynamic systems co-evolution;;Businesses and their supporting software evolve to accommodate the constant revision and re-negotiation of commercial goals, and to intercept the potential of new technology. We have adopted the term co-evolution to describe the concept of the business and the software evolving sympathetically, but at potentially different rates. More generally, we extend co-evolution to accommodate wide-informatics systems, that are assembled from parts that co-evolve with each other and their environment, and whose behavior is potentially emergent. Typically these are long-lived systems in which dynamic co-evolution, whereby a system evolves as part of its own execution in reaction to both expected and unexpected events, is the only feasible option for change. Examples of such systems include continuously running business process models, sensor nets, grid applications, self-adapting/tuning systems, peer-to-peer routing systems, control systems, autonomic systems, and pervasive computing applications. The contribution of this paper comprises: a study of the intrinsic nature of dynamic co-evolving systems,, the derivation of a set of intrinsic requirements,, a description of a model and a set of technologies, new and extant, to meet these intrinsic requirements,, and illustrations of how these technologies may be implemented within an architecture description language (ArchWare ADL) and a conventional programming language (Java). The model and technologies address three topics: structuring for dynamic co-evolution, incremental design, and adapting dynamic co-evolving systems. The combination yields a framework that can describe the system's specification, the executing software and the reflective evolutionary mechanisms within a single computational domain in which all three may evolve in tandem. © 2007 Springer Science+Business Media, LLC.
