ID;Year;Sources;Title;Analysis
322;2012;Engineering Village, SCOPUS;Engineering Secure Software and Systems - 4th International Symposium, ESSoS 2012, Proceedings;EC5
323;1991;IEEE;Engineering service negotiation and management functionality for the advanced intelligent network: an application of object-oriented technology;OK
324;2014;IEEE;Engineering topology aware adaptive security: Preventing requirements violations at runtime;OK
325;2007;Engineering Village, SCOPUS;Enhancing residential gateways: OSGi service composition;OK
326;2008;SCOPUS;Enterprise information system security: A life-cycle approach;~IC1
327;2011;SCOPUS, Web of Science;Enterprise Monitoring Ontology;OK
328;2010;SCOPUS;Enterprise systems requirement analysis for process-centric continuous monitoring;~IC1
329;2013;Engineering Village;Environmental regulation of hydraulic fracturing in Queensland;~IC1
330;2005;ACMDL;Establishing trustworthiness in services of the critical infrastructure through certification and accreditation;OK
331;2007;Engineering Village, SCOPUS;Euro-Par 2006 Workshops: Parallel Processing CoreGRID 2006, UNICORE Summit 2006, Petascale Computational Biology and Bioinformatics Revised Selected Papers;~IC1
332;2012;Engineering Village, SCOPUS;EuroPLoP 2011 - 16th European Conference on Pattern Languages of Programs, Invited Post-Proceedings;~IC1
333;2006;Engineering Village;Evaluating filtering strategies for decentralized handover prediction in the wireless internet;~IC1
334;2001;Engineering Village, SCOPUS;Evaluating meta-programming mechanisms for ORB middleware;OK
335;2009;ACMDL, IEEE;Evaluating Organizational Configurations;~IC1
336;2007;ACMDL;Evaluating User-centric Adaptation with Goal Models;OK
337;2011;ScienceDirect;Evaluation of esophageal motility and reflux in children treated for congenital diaphragmatic hernia with the use of combined multichannel intraluminal impedance and pH monitoring;~IC1
338;2007;ScienceDirect;Evaluation of pressure transmission and intra-aneurysmal contents after endovascular repair using the Trivascular Enovus expanded polytetrafluoroethylene stent graft in a canine model of abdominal aortic aneurysm;~IC1
339;2011;IEEE;Evolution vs. innovation in requirements for services;OK
340;2006;Engineering Village, SCOPUS;Evolutionary method engineering: Towards a method for the analysis and conception of management information systems;~IC1, EC6
341;2011;ACMDL;Evolving requirements in patient-centered software;~IC1
342;2011;ACMDL;Evolving requirements in socio-technical systems: concepts and practice;EC6
343;2005;IEEE;Exemplars for better requirements - tales from the trenches;EC5
344;2015;ACMDL;Experience in using business scenarios to assess COTS components in integrated solutions;~IC1
345;2012;Engineering Village;Experience with a tracing model for a Positive Train Control system of systems;OK
346;1998;IEEE;Experiences with program static analysis;~IC1
347;2010;ACMDL;Expressing aspectual interactions in requirements engineering: experiences in the slot machine domain;~IC1
348;2006;Engineering Village, SCOPUS;Extended web services framework to meet non-functional requirements;~IC1
349;2012;IEEE;Extending the Four-Variable Model for Cyber-Physical Systems;~IC1
350;2001;Engineering Village, SCOPUS;Extensibility via a meta-level architecture;~IC1
351;2003;ScienceDirect;Fabric tears as a new cause of type III endoleak with ancure endograft;~IC1
352;2001;ACMDL;Fast formal analysis of requirements via “Topoi Diagrams”;OK
353;2006;Engineering Village, IEEE;Fault monitoring and detection of distributed services over local and wide area networks;~IC1
354;2007;Engineering Village;Fault-models in wireless communication: Towards survivable ad hoc networks;~IC1
355;2009;ScienceDirect;Feasibility of simultaneous pre- and postfilter transcranial Doppler monitoring during carotid artery stenting;~IC1
356;2009;Engineering Village, SCOPUS;Feature Interactions in Software and Communication Systems X;EC5
357;2014;Engineering Village, SCOPUS;Feedback-aware requirements documents for smart devices;OK
358;2000;Engineering Village, SCOPUS;Field analysis: Getting useful and low-cost interprocedural information;~IC1
359;2007;Engineering Village;Film strain measurement through hyperspectral polarimetry;~IC1
360;2010;ACMDL;Finding solutions in goal models: an interactive backward reasoning approach;OK
361;2013;ACMDL;First international workshop on usability and accessibility focused requirements engineering (UsARE 2012): summary report;EC5
362;2010;Engineering Village, IEEE, SCOPUS;First step towards a domain specific language for self-adaptive systems;OK
363;2014;Engineering Village, SCOPUS;Flexibility requirements in real-world process scenarios and prototypical realization in the care domain;EC6
364;2004;IEEE;Fluent-based animation: exploiting the relation between goals and scenarios for requirements validation;OK
365;2011;Engineering Village, IEEE, SCOPUS;Foreword: 2nd Workshop requirements@run.time;EC5, EC6
366;2010;Engineering Village, SCOPUS;Foreword: First workshop requirements@run.time;EC5
367;2000;ACMDL;Formal Tools for Managing Inconsistency and Change in RE;OK
368;1998;ACMDL;Formalizing space shuttle software requirements: four case studies;~IC1
369;2004;Engineering Village;Founding enterprise systems on enterprise performance analysis;~IC1
370;2006;Engineering Village, SCOPUS;FPGA implementation of dynamic run-time behavior reconfiguration in robots;~IC1
371;2005;SCOPUS;Frameworks for model-driven software architecture;OK
372;2007;Engineering Village, SCOPUS, Web of Science;From a goal-oriented methodology to a BDI agent language: The case of Tropos and Alan;OK
373;2010;Engineering Village, SCOPUS;From adaptive systems design to autonomous agent design;~IC1
374;2011;ACMDL;From aspect-oriented requirements models to aspect-oriented business process design models: an iterative and concern-driven approach for software engineering;~IC1
375;2011;Engineering Village, IEEE, SCOPUS;From awareness requirements to adaptive systems: A control-theoretic approach;OK (CA2)
376;2010;ACMDL;From collective knowledge to intelligence: pre-requirements analysis of large and complex systems;~IC1
377;2007;ACMDL;From crosscutting concerns to web systems models;EC6
378;1998;ACMDL;From Early to Late Formal Requirements: A Process-Control Case Study;~IC1
379;2013;Engineering Village, IEEE, SCOPUS, Web of Science;From GMoDS models to object-oriented specifications in Event-B;OK
380;2009;Engineering Village, IEEE, SCOPUS, Web of Science;From Requirements to Embedded Software - Formalising the Key Steps;~IC1
381;2003;IEEE;From requirements to release criteria: specifying, monitoring, and demonstrating product quality;EC6
382;2014;ACMDL;From requirements to statecharts via design refinement;~IC1
383;2006;ACMDL;From stakeholder goals to product features: towards a role-based variability framework with decision boundary;~IC1
384;2012;Engineering Village, IEEE, SCOPUS;From use cases and their relationships to code;~IC1
385;2002;Engineering Village, SCOPUS;Fusing hard and soft computing for fault management in telecommunications systems;~IC1
386;2009;Engineering Village;Future space system support to U.S. military operations in an ice-free arctic: Broadband satellite communications considerations;~IC1
387;2010;Engineering Village, IEEE, SCOPUS;Fuzzy Goals for Requirements-Driven Adaptation;OK (CA5)
388;2012;IEEE;General Enterprise Framework (GEF);~IC1
389;2006;Engineering Village;Generic architecture and mechanisms for protocol reconfiguration;~IC1
390;2013;IEEE, SCOPUS, Web of Science;Getting more from requirements traceability: Requirements testing progress;~IC1
391;2005;Engineering Village, SCOPUS;GMPLS operations and management: Today's challenges and solutions for tomorrow;~IC1
392;2004;Engineering Village, IEEE, Web of Science;Goal and scenario driven product line development;OK
393;2012;ACMDL, Engineering Village, SCOPUS;Goal models as run-time entities in context-aware systems;OK
394;2009;IEEE;Goal reasoning for quality elicitation in the ISOA approach;~IC1
395;2008;Engineering Village, IEEE, SCOPUS;Goal support towards business processes modelling;~IC1
396;2008;Engineering Village, IEEE, SCOPUS, Web of Science;Goal-Based Modeling of Dynamically Adaptive System Requirements;OK
397;2005;ACMDL;Goal-centric traceability for managing non-functional requirements;~IC1
398;2011;Engineering Village, IEEE, SCOPUS;Goal-Driven Adaptation of Service-Based Systems from Runtime Monitoring Data;OK
399;2006;ACMDL, IEEE;Goal-Oriented Development of BDI Agents: The PRACTIONIST Approach;OK
400;2006;IEEE;Goal-Oriented Modeling of Requirements Engineering for Dynamically Adaptive System;OK
401;2004;IEEE;Goal-oriented requirements animation;OK
402;2006;Web of Science;GOLD infrastructure for virtual organisations;~IC1
403;2008;Engineering Village, SCOPUS, Web of Science;GOLD infrastructure for virtual organizations;~IC1
404;2007;SCOPUS;GOOD ROUTE HMI for actors involved in dangerous goods transportation;~IC1
405;1995;Engineering Village;GPS ground antenna & monitor station upgrades: software requirements analysis;~IC1
406;1995;Engineering Village;GPS ground antenna & monitor station upgrades: system analysis & design;~IC1
407;1995;IEEE;GPS ground antenna and monitor station upgrades: software requirements analysis;~IC1
408;1995;IEEE;GPS ground antenna and monitor station upgrades: system analysis and design;~IC1
409;2007;IEEE;GPSDTN: Predictive Velocity-Enabled Delay-Tolerant Networks for Arctic Research and Sustainability;~IC1
410;2013;Engineering Village;Groundwater management during excavations of S. Pasquale station in Naples;~IC1, EC6
411;2005;Engineering Village, SCOPUS;Guidance on design of Internet-based process control systems;~IC1, EC5
412;2002;ACMDL;Handling the knowledge acquired during the requirements engineering process: a case study;~IC1
413;2013;Engineering Village, IEEE, SCOPUS, Web of Science;Harnessing evolutionary computation to enable dynamically adaptive systems to manage uncertainty;~IC1
414;2011;ACMDL;Hazard-based selection of test cases;~IC1
415;2012;Engineering Village, SCOPUS, Web of Science;How to Design and Deliver Process Context Sensitive Information: Concept and Prototype;OK
416;2009;ACMDL;i*-prefer: optimizing requirements elicitation process based on actor preferences;~IC1
417;2014;IEEE;Identification of requirements for focused crawlers in technology intelligence;OK
418;2005;Engineering Village, IEEE, SCOPUS;Identifying contingency requirements using obstacle analysis;~IC1
419;1990;IEEE;IEEE Standard Glossary of Software Engineering Terminology;EC5
420;2005;Engineering Village;IFIP TC 5/ WG 5.5 6th IFIP International Conference on Information Technology for Balanced Automation Systems in Manufacturing and Services, BASYS 2004;EC5
421;2015;ACMDL;Impediments to Regulatory Compliance of Requirements in Contractual Systems Engineering Projects: A Case Study;~IC1
422;2014;Engineering Village, SCOPUS, Web of Science;Implementation decision making for internetware driven by quality requirements;OK
423;2007;Engineering Village, SCOPUS;Implicit phasing for R6RS libraries;~IC1
424;2010;ACMDL;Imprinting community college computer science education with software engineering principles: work in progress;~IC1
425;2004;Engineering Village;Improved Planar Amperometric Nitric Oxide Sensor Based on Platinized Platinum Anode. 1. Experimental Results and Theory When Applied for Monitoring NO Release from Diazeniumdiolate-Doped Polymeric Films;~IC1
426;2014;Engineering Village, SCOPUS;Improving business value assurance in large-scale IT projects - A quantitative method based on founded requirements assessment;~IC1
427;2015;ACMDL;Improving Business Value Assurance in Large-Scale IT Projects—A Quantitative Method Based on Founded Requirements Assessment;~IC1
428;2006;Engineering Village, SCOPUS;Improving exception handling by discovering change dependencies in adaptive process management systems;OK
429;2007;Engineering Village, SCOPUS;Improving network infrastructure security using geospatial technology;~IC1
430;2005;ACMDL;Improving situation awareness in anaesthesiology;~IC1
431;2011;IEEE;In a ubiquitous world requirements are ubiquitous too;EC6
432;2012;ACMDL;Incremental formal verification for model refining;~IC1
433;2006;Engineering Village;Information distribution and team situational awareness: An experimental study;~IC1
434;2005;Engineering Village;Information processing techniques: A major asset for the aging and life management of key NPP components;~IC1
435;2007;Engineering Village, SCOPUS;Informed evolution;~IC1
436;2014;Engineering Village, SCOPUS;Instantaneous Angular Speed (IAS) processing and related angular applications;~IC1
437;2006;IEEE;Instruction in Problem Structuring and Analysis Through Problem Frames;~IC1
438;2007;Engineering Village, IEEE, SCOPUS;Integrated Perimeter Security System;~IC1
439;2005;Engineering Village;Integrated, scalable safety-instrumented system;~IC1
440;2004;ACMDL;Integrating creativity workshops into structured requirements processes;~IC1
441;2011;ACMDL;Integrating mobile devices into the car ecosystem: tablets and smartphones as vital part of the car;~IC1
442;2001;Engineering Village;Integrating policy-based management and SLA performance monitoring;~IC1
443;1999;Engineering Village, SCOPUS;Integrative approach to requirements modeling;OK
444;2013;IEEE;IntellBatt: The Smart Battery;~IC1
445;2009;IEEE;Intellectual Property Rights Requirements for Heterogeneously-Licensed Systems;~IC1
446;2012;SCOPUS;Intelligent supervision and tracing system for food quality under the internet of things;~IC1
447;2013;Engineering Village, IEEE, SCOPUS;Intention-oriented modelling support for GORE in elastic cloud applications;OK
448;2012;Engineering Village, IEEE, SCOPUS;Intention-oriented modelling support for socio-technical driven elastic cloud applications;OK
449;2013;Engineering Village, SCOPUS, ScienceDirect, Web of Science;Intention-oriented programming support for runtime adaptive autonomic cloud-based applications;OK
450;2011;Engineering Village, SCOPUS;Intentional models based on measurement theory;~IC1
451;2010;Engineering Village, SCOPUS;Interaction-driven self-adaptation of service ensembles;OK
452;2003;Engineering Village, SCOPUS;Interactive Grid Architecture for Application Service Providers;~IC1
453;2005;Engineering Village, SCOPUS;Interprovider IP-MPLS services: Requirements, implementations, and challenges;~IC1
454;2008;IEEE;Inventing Requirements from Software: An Empirical Investigation with Web Services;~IC1
455;2007;Engineering Village, SCOPUS, Web of Science;Investigating an 'Agile-Rigid' Approach in Globally Distributed Requirements Analysis;~IC1
456;2010;Engineering Village, SCOPUS;iStar 2010 - Proceedings of the 4th International i* Workshop;EC5
457;2006;Engineering Village, SCOPUS;Keeping track of crosscutting requirements in UML models via context-based constraints;OK
458;2003;Engineering Village, SCOPUS;Knowledge Management in Electronic Government: 4th IFIP International Working Conference, KMGov 2003 Rhodes, Greece, May 26-28, 2003 Proceedings;EC5
459;2013;Web of Science;Knowledge-Oriented Approach to Requirements Engineering in Ambient-Assisted Living Domain;~IC1
460;2014;ScienceDirect;Laser-induced breakdown spectroscopy expands into industrial applications;~IC1
461;2010;SCOPUS;Laying the groundwork for assisted rehabilitation;~IC1
462;2011;ACMDL;Lean+ manufacturing process analysis simulation (LPAS+);~IC1
463;2009;ACMDL;Learning operational requirements from goal models;~IC1
464;2014;ScienceDirect;Lessons learnt from the development of the Patient Safety Incidents Reporting an Learning System for the Spanish National Health System: SiNASP;~IC1
465;2007;IEEE;Leveraging Conceptual Models of Trust in Automated Systems to Promote `Appropriate Trust' in Autonomic Systems;~IC1
466;2010;ACMDL, Engineering Village, SCOPUS;Live goals for adaptive service compositions;OK
467;2010;IEEE;Log filtering and interpretation for root cause analysis;~IC1
468;1997;IEEE;LOODS: a new learning-based object-oriented system development environment;~IC1
469;2003;IEEE;Low complexity crosstalk cancellation through line selection in upstream VDSL;~IC1
470;2005;Engineering Village;Making automatic passenger counts mainstream accuracy, balancing algorithms, and data structures;~IC1
471;2006;IEEE;Making Sense of Requirements, Sooner;~IC1
472;1994;Engineering Village;Managing approach plate information study (MAPLIST): An information requirements analysis for approach chart use;~IC1
473;2010;IEEE;Managing Carbon Footprint of Buildings with ECView;~IC1
474;2004;Engineering Village, SCOPUS;Managing evolving requirements in an outsourcing context: An industrial experience report;~IC1
475;2006;Engineering Village, SCOPUS;Managing information security complexity;~IC1
476;2009;Engineering Village, SCOPUS, Web of Science;Managing Legal Texts in Requirements Engineering;~IC1
477;1996;Engineering Village, IEEE, SCOPUS, Web of Science;Managing multiple requirements perspectives with metamodels;~IC1
478;1999;Engineering Village, SCOPUS, Web of Science;Managing requirements inconsistency with development goal monitors;OK
479;2007;Engineering Village;Managing requirements or being managed by requirements - Results of an empirical study;~IC1
480;2009;Engineering Village, SCOPUS;Mapping semantically enriched Formal Tropos to business process models;OK
481;2014;IEEE;MapReduce-based warehouse systems: A survey;~IC1
482;2012;Engineering Village, SCOPUS;Market-aware requirements;OK
483;2006;Engineering Village;Materials and structures for the european future launcher preparatory programme;~IC1
484;2007;IEEE;Measurement of Energy Expenditure in Elite Athletes Using MEMS-Based Triaxial Accelerometers;~IC1
485;2013;Engineering Village;Measuring compound concentrations using the AGI Universal Sampler, a time-integrated, passive gas and liquid sampler;~IC1
486;2010;IEEE;Mediaprinting: Identifying Multimedia Content for Digital Rights Management;~IC1
487;2006;Engineering Village, SCOPUS;Meeting business objectives through adaptive information and communications technology;~IC1
488;2005;Engineering Village, SCOPUS;Memory Requirements of Java Bytecode Verification on Limited Devices;~IC1
489;2011;Engineering Village;Metabolic algorithm for software requirement engineering;~IC1
490;2008;Engineering Village, IEEE, SCOPUS, Web of Science;Methodology and tools for the design and verification of a smart management system for home comfort;~IC1
491;2006;Web of Science;Metodología para la gerencia de los procesos del negocio sustenda en el uso de patrones;EC3
492;2005;IEEE;Microbolometer instrument payload design for a microsatellite mission;~IC1
493;2013;SCOPUS;Mid Sweden University: A survey of wireless sensor networks for home healthcare monitoring application;~IC1
494;2009;ACMDL;Middleware-based distributed systems software process;~IC1
495;2002;Engineering Village;Missing White House E-mail: A whistleblowing case study;~IC1
496;1995;IEEE;Mission control for the 48-satellite Globalstar constellation;~IC1
497;2012;Engineering Village, IEEE, SCOPUS;Mitigating the obsolescence of quality specifications models in service-based systems;OK
498;2012;Engineering Village;Mobile application supported lifestyle intervention to lower prostate cancer risk;OK
499;2014;ACMDL;Mobile Usability Testing Requirements and their Implementation in the Automation Engineering Industry;~IC1
500;2012;Engineering Village, IEEE, SCOPUS;Model Driven Provisioning in Multi-tenant Clouds;OK
501;2009;IEEE, SCOPUS;Model transformation of dependability-focused requirements models;~IC1
502;2014;Springer;Model-Based Management of Strategic Initiatives;OK
503;2010;Engineering Village, SCOPUS;Model-based platform-specific co-design methodology for dynamically partially reconfigurable systems with hardware virtualization and preemption;~IC1
504;2009;IEEE;Model-based Runtime Verification of Web Service Interface Contracts;~IC1
505;2004;Engineering Village, SCOPUS;Model-driven business process integration and management: A case study with the Bank SinoPac regional service platform;~IC1
506;2006;ACMDL;Modeling mental states in the analysis of multiagent systems requirements;~IC1
507;2005;Engineering Village, IEEE, SCOPUS, Web of Science;Modeling security requirements through ownership, permission and delegation;~IC1
508;2011;Engineering Village, IEEE, SCOPUS;Modelling adaptability and variability in requirements;OK
509;2014;ACMDL;Modelling and analysing contextual failures for dependability requirements;OK
510;2001;Engineering Village;Modelling health care processes for eliciting user requirements: A way to link a quality paradigm and clinical information system design;~IC1
511;2007;Engineering Village, Web of Science;Modelling QoS for wireless sensor networks Wireless Sensor and Actor Networks;~IC1
512;2007;Engineering Village, SCOPUS;MOFBAN: A lightweight modular framework for body area networks;~IC1
513;2005;Engineering Village, SCOPUS;Monitoring and control in requirements analysis;~IC1
514;2005;Engineering Village, IEEE, Web of Science;Monitoring and control in scenario-based requirements analysis;~IC1
515;2009;Engineering Village, SCOPUS, Web of Science;Monitoring and Diagnosing Malicious Attacks with Autonomic Software;OK
516;2009;Engineering Village, SCOPUS, Springer, Web of Science;Monitoring and diagnosing software requirements;OK
517;2011;Engineering Village, IEEE, SCOPUS;Monitoring fuzzy temporal requirements for service compositions: Motivations, challenges and experimental results;~IC1
518;2007;Engineering Village, SCOPUS, Web of Science;Monitoring group behavior in goal-directed agents using co-efficient plan observation;~IC1
519;2006;Engineering Village;Monitoring requirements coverage using reconstructed views: An industrial case study;OK
520;2007;Engineering Village, IEEE, SCOPUS, Web of Science;Monitoring Requirements Evolution using Views;~IC1
521;2011;Engineering Village, IEEE, SCOPUS, Web of Science;Monitoring Service Systems from a Language-Action Perspective;OK (CA6)
522;2012;ACMDL, Engineering Village, SCOPUS;Monitoring strategic goals in data warehouses with awareness requirements;~IC1
523;2013;Engineering Village, SCOPUS;Monitoring system-of-systems requirements in multi product lines;~IC1
524;2012;Engineering Village, SCOPUS, Web of Science;Monitoring Value Webs;~IC1
525;2003;IEEE, Web of Science;Monitoring Web service requirements;OK
526;2005;Engineering Village, IEEE, Web of Science;Monitoring with behavior view diagrams for debugging;~IC1
527;2006;ACMDL;Moving from cultural probes to agent-oriented requirements engineering;~IC1
528;2008;ACMDL;Mulit-level system integration based on AUTOSAR;~IC1
529;2008;Engineering Village, SCOPUS, Web of Science;Multi-Level System Integration based on AUTOSAR;~IC1
530;2010;ScienceDirect;Multidisciplinary Approach to Prevent Spinal Cord Ischemia After Thoracic Endovascular Aneurysm Repair for Distal Descending Aorta;~IC1
531;2004;Engineering Village;Multiparadigm modeling in embedded systems design;~IC1
532;2002;ACMDL;Multiple instances and symbolic variables in executable sequence charts;OK
533;2009;Engineering Village, SCOPUS;Natural Language Processing and Information Systems - 14th International Conference on Applications of Natural Language to Information Systems, NLDB 2009, Revised Papers;EC5
534;2014;ACMDL;Non-Functional Requirements for Distributable User Interfaces in Agile Processes;~IC1
535;2009;IEEE;Notice of Violation of IEEE Publication Principles<BR>The Explore of the Law Role in Software Requirements Engineering;EC4
536;2014;IEEE;Now more than ever: Privacy and security are required (keynote);~IC1
537;2003;SCOPUS, Web of Science;Object-oriented graceful evolution monitors;OK
538;2001;Engineering Village, SCOPUS;Object-oriented model of network performance monitoring system;~IC1
539;1991;Engineering Village;Object-Oriented Software Development Method. A practical approach to object-oriented development;~IC1
540;2012;ACMDL;On adopting multi-criteria decision-making approaches for variability management in software product lines;~IC1
541;2007;SCOPUS;On extending WS-Policy with specification of XML Web service semantics, monitoring, and control driven by business value;~IC1
542;2009;ACMDL;On lightweight mobile phone application certification;~IC1
543;2014;IEEE;On requirements representation and reasoning using answer set programming;OK
544;2009;Engineering Village, SCOPUS;On software requirement metrics based on six-sigma;~IC1
545;2009;Engineering Village, SCOPUS, Web of Science;On Technology Convergence and Platforms: Requirements Challenges from New Technologies and System Architectures;OK
546;2013;IEEE;On the autonomy requirements for space missions;OK
547;2012;ScienceDirect;On the Development of Condition Based Maintenance Strategy for Offshore Wind Farm: Requirement Elicitation Process;~IC1
548;2014;ACMDL;On the impact of UML analysis models on source-code comprehensibility and modifiability;OK
549;2011;Engineering Village, SCOPUS, Web of Science;On the Move to Business-Driven Alignment of Service Monitoring Requirements;~IC1
550;2012;Engineering Village, SCOPUS;On the Move to Meaningful Internet Systems: OTM 2012 Workshops - Confederated International Workshops: OTM Academy, Industry Case Studies Program, EI2N, INBAST, META4eS, OnToContent, ORM, SeDeS, SINCOM, and SOMOCO 2012, Proceedings;EC5
551;2012;ACMDL, IEEE;On the role of requirements in understanding and managing technical debt;~IC1
552;2008;IEEE;On Usability in Requirements Trace Visualizations;~IC1
553;1999;IEEE;On-chip multimedia real-time OS and its MPEG-2 applications;~IC1
554;2003;IEEE;One approach to the metric baselining imperative for requirements processes;~IC1
555;2013;Engineering Village, SCOPUS;Ontological goal modelling for proactive assistive living in smart environments;OK
556;2009;Engineering Village, IEEE, SCOPUS;Ontological Support for Managing Non-Functional Requirements In Pervasive Healthcare;OK
557;2013;ACMDL;Open source patient-controlled analgesic pump requirements documentation;~IC1
558;2009;ACMDL, Engineering Village, SCOPUS;Operational semantics of goal models in adaptive agents;OK
559;2013;Engineering Village;Optimal collector type and temperature in a solar organic rankine cycle system for building-scale power generation in hot and humid climate;~IC1
560;2012;Engineering Village, SCOPUS, Web of Science;Optimizing Monitoring Requirements in Self-adaptive Systems;OK
561;2002;IEEE;Optimizing system requirements with evolutionary computation;OK
562;2009;Engineering Village, IEEE, SCOPUS, Web of Science;OSAMI-D: An open service platform for healthcare monitoring applications;~IC1
563;2007;Engineering Village, SCOPUS;Path-based error propagation analysis in composition of software services;~IC1
564;2008;ACMDL;Patterns and traceability in teaching software architecture;~IC1
565;2006;Springer, Web of Science;PC-RE: a method for personal and contextual requirements engineering with some experience;OK
566;2007;ACMDL, Engineering Village, IEEE, SCOPUS;Pedestrian Navigation Systems: a Case Study of Deep Personalization;~IC1
567;1990;IEEE;Performance analysis of hierarchically structured multiple bus multiprocessor system;~IC1
568;2005;Engineering Village;Performance and availability analysis of a simple local airport position domain monitor for WAAS;~IC1
569;2009;SCOPUS;Performance impact analysis with KPP using application response measurement in E-government systems;OK
570;2009;Engineering Village, SCOPUS;Performance models to predict the productivity of projects: A practical application;~IC1
571;2005;IEEE;Personal and contextual requirements engineering;~IC1
572;2005;Engineering Village, SCOPUS;Pervasive Computing: Third International Conference, PERVASIVE 2005, Proceedings;EC5
573;2007;Engineering Village;Pervasive service composition in the home network;~IC1
574;2007;Engineering Village;Physical configuration on-line visualization of Xilinx Virtex-II FPGAs;~IC1
575;2003;SCOPUS, Web of Science;Policy-based autonomic storage allocation;~IC1
576;2004;Engineering Village, SCOPUS;Policy-based dynamic reconfiguration of mobile-code applications;~IC1
577;2006;Engineering Village, SCOPUS;Policy-driven middleware for self-adaptation of Web services compositions;~IC1
578;2006;Engineering Village;Policy-driven model for autonomic management of Web services using mas;OK
579;2008;Engineering Village;Popular misconceptions;~IC1
580;2012;ACMDL;Position paper: approach for architectural design and modelling with documented design decisions (ADMD3);~IC1
581;2005;Engineering Village;Post-qualification of old radioactive waste - Concrete suggestions for implementation;~IC1
582;2014;Engineering Village, IEEE, SCOPUS, Web of Science;Power Efficient Ultra Wide Band Based Wireless Body Area Networks with Narrowband Feedback Path;~IC1
583;2007;Engineering Village;Preemption threshold scheduling: Stack optimality, enhancements and analysis;~IC1
584;2010;SCOPUS;Preliminary design and development of industrial inspection e-monitoring system;~IC1
585;2012;Engineering Village;Preliminary requirements for a Fluoride Salt-Cooled High-Temperature Test Reactor (FHTR);~IC1
586;2012;ScienceDirect;Prevention of neointimal hyperplasia associated with modified stretch expanded polytetrafluoroethylene hemodialysis grafts (Gore) in an experimental preclinical study in swine;~IC1
587;2014;ACMDL;Privacy and security requirements framework for the internet of things (IoT);~IC1
588;2012;Engineering Village, IEEE, SCOPUS;Privacy arguments: Analysing selective disclosure requirements for mobile applications;OK
589;2012;Engineering Village, SCOPUS;Problem frames analysis over sysML model for critical goods transportation monitoring system;~IC1
590;2006;Engineering Village, SCOPUS;Procedure model for the analysis and design of reporting systems- A case study in conceptual modelling;OK
591;2013;SCOPUS;Proceedings - 17th IEEE International Enterprise Distributed Object Computing Conference, EDOC 2013;EC5
592;2012;Engineering Village, SCOPUS;Proceedings - 2012 8th International Conference on the Quality of Information and Communications Technology, QUATIC 2012;EC5
593;2013;Engineering Village, SCOPUS;Proceedings - IEEE 5th International Conference on Cloud Computing Technology and Science, CloudCom 2013;EC5
594;2007;Engineering Village, SCOPUS;Proceedings - International Conference on Global Software Engineering, ICGSE 2007;EC5
595;2006;Engineering Village;Proceedings - SBAC-PAD 2006 18TH International Symposium on Computer Architecture and High Performance Computing;EC5
596;2006;Engineering Village, SCOPUS;Proceedings 2006 Australian Software Engineering Conference;EC5
597;2010;SCOPUS;Proceedings 2010 IEEE International Conference on Software Engineering and Service Sciences, ICSESS 2010;EC5
598;1993;IEEE;Proceedings of 9th IEEE Conference on Artificial Intelligence for Applications;EC5
599;2006;Engineering Village, SCOPUS;Proceedings of the 10th IASTED International Conference on Software Engineering and Applications, SEA 2006;EC5
600;2007;SCOPUS;Proceedings of the 10th Workshop on Requirements Engineering, WER 2007;EC5
601;1993;Engineering Village, SCOPUS;Proceedings of the 15th International Conference on Software Engineering;EC5
602;1998;Engineering Village, SCOPUS;Proceedings of the 1998 20th International Conference on Software Engineering;EC5
603;1998;Engineering Village, SCOPUS;Proceedings of the 1998 International Conference on Software Engineering;EC5
604;2009;Engineering Village, SCOPUS;Proceedings of the 2009 ICSE Workshop on Aspect-Oriented Requirements Engineering and Architecture Design, EA 2009;EC5
605;2011;Engineering Village, SCOPUS;Proceedings of the 2011 2nd International Workshop on Requirements@Run. Time, RE@RunTime 2011;EC5
606;2006;Engineering Village, SCOPUS;Proceedings of the 30th Annual IEEE/NASA Software Engineering Workshop, SEW-30;EC5
607;2010;ACMDL;Proceedings of the 3rd International Workshop on Monitoring, Adaptation and Beyond;EC5
608;2012;Engineering Village, SCOPUS;Proceedings of the 7th Workshop on Models@run.time, MRT 2012 - Being Part of the ACM/IEEE 15th International Conference on Model Driven Engineering Languages and Systems, MODELS 2012;EC5
609;1993;Engineering Village, SCOPUS;Proceedings of the 9th Conference on Artificial Intelligence for Applications;EC5
610;2005;Engineering Village;Proceedings of the ACM SIGAda Annual International Conference, SIGAda 2005: The Engineering of Correct and Reliable Software for Real-Time and Distributed Systems using Ada and Related Technologies;EC5
611;2009;Engineering Village, SCOPUS;Proceedings of the Forum at the CAiSE 2009 Conference;EC5
612;2002;Engineering Village;Proceedings of the third international workshop on software and performance WOSP2002;EC5
613;2000;Web of Science;Process metrics for requirements analysis;~IC1
614;2009;Engineering Village;Process model for e-Business standards development: A case of ebXML standards;~IC1
615;2005;Engineering Village, SCOPUS;Process monitoring using bond graph approach;~IC1
616;2012;Engineering Village, SCOPUS, Web of Science;Process warehouses in practice: a goal-driven method for business process analysis;~IC1
617;2001;ACMDL;Process-centered software engineering environments: academic and industrial perspectives;~IC1
618;2013;Engineering Village, SCOPUS;Product-Focused Software Process Improvement - 14th International Conference, PROFES 2013, Proceedings;EC5
